,Eff Gas Day/Eff Time,TSP Name,CycleDesc,Loc Purp Desc,Loc,Loc Name,Loc Zn,Loc (Segment),Design Capacity,Operating Capacity,Total Scheduled Quantity,Operationally Available Capacity,IT,Flow Ind,All Qty Avail,Qty Reason,TimeStamp
209,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,56387,HOOKSGAS/NGPL PRESSWOOD FM 2090 DEL,3.0,26.0,"2,255","2,255",25,"2,230",N,D,Y,,2025-04-26 10:40:07
210,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,56481,NORTHMID/NGPL TITAN BECKHAM RD DEL ,1.0,9.0,"24,900","24,900","6,000","18,900",Y,D,Y,,2025-04-26 10:40:07
211,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,56494,SPS/NGPL BRICKPLANT RD HARRINGTON D,1.0,8.0,"271,625","196,625","49,685","146,940",N,D,Y,,2025-04-26 10:40:07
212,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,56793,NORTHMID/NGPL PELICAN NM-128 DEL LE,1.0,9.0,"51,250","51,250","2,000","49,250",Y,D,Y,,2025-04-26 10:40:07
213,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,56794,NORTHMID/NGPL SIEGE DELAWARE BSN RD,1.0,9.0,"51,250","51,250","2,000","49,250",Y,D,Y,,2025-04-26 10:40:07
214,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,56860,NORTHMID/NGPL FLIGHT BARRIO RD DEL ,1.0,9.0,"46,125","46,125",0,"46,125",N,D,Y,,2025-04-26 10:40:07
215,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,900001,NO SHORE/NGPL GRAYSLAKE LAKE       ,6.0,39.0,"374,400","374,400",0,0,N,D,Y,,2025-04-26 10:40:07
216,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,900002,NICORGAS/NGPL VOLO LAKE            ,6.0,39.0,"295,840","295,840",0,0,N,D,Y,,2025-04-26 10:40:07
217,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,900003,NICORGAS/NGPL BARRINGTON LAKE      ,6.0,40.0,"57,010","57,010",0,0,N,D,Y,,2025-04-26 10:40:07
218,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,900004,NICORGAS/NGPL MC HENRY MC HENRY    ,6.0,38.0,"87,811","87,811",0,0,N,D,Y,,2025-04-26 10:40:07
219,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,900005,NICORGAS/NGPL WOODSTOCK MC HENRY   ,6.0,38.0,"58,441","58,441",0,0,N,D,Y,,2025-04-26 10:40:07
220,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,900006,NICORGAS/NGPL RICHMOND MC HENRY    ,6.0,29.0,"13,504","13,504",0,0,N,D,Y,,2025-04-26 10:40:07
